      Npts  dim   mpdeg  dtilde   eta   apost      nza      nzp      Comp_err         2norm       ctime
        16    2       3       3   0.1   1e-10       16       17   6.80354e-16       1.66381     7.6e-05
        32    2       3       3   0.1   1e-10       32       33   1.01068e-15       2.09727    0.000143
        64    2       3       3   0.1   1e-10       64       65   9.84254e-16       2.37103    0.000677
       128    2       3       3   0.1   1e-10      128      129   2.05818e-11       2.28856    0.002704
       256    2       3       3   0.1   1e-10      256      239   1.27593e-10       4.10127    0.009575
       512    2       3       3   0.1   1e-10      512      439   1.74963e-10       6.19407    0.042867
      1024    2       3       3   0.1   1e-10     1015      755   2.39372e-10       9.30739    0.206177
      2048    2       3       3   0.1   1e-10     1878     1271   3.43275e-10       17.1596    0.969091
      4096    2       3       3   0.1   1e-10     3093     2109   1.11093e-08       34.0604     4.39804
      8192    2       3       3   0.1   1e-10     4698     3277   7.15556e-08       65.0362     15.4544
     16384    2       3       3   0.1   1e-10     6430     4579   2.94579e-07       126.365     49.5648
     32768    2       3       3   0.1   1e-10     8514     6137   6.15464e-07       251.931     139.294
        16    2       3       3   0.8   1e-06       16       17   6.80354e-16       1.66381     7.7e-05
        32    2       3       3   0.8   1e-06       32       33   1.01068e-15       2.09727    0.000146
        64    2       3       3   0.8   1e-06       64       61   3.18319e-07       2.37103    0.000558
       128    2       3       3   0.8   1e-06      125      111   1.22927e-06       2.28856    0.002706
       256    2       3       3   0.8   1e-06      202      165   6.05662e-06       4.10127    0.010349
       512    2       3       3   0.8   1e-06      306      257   3.17435e-05       6.19409    0.036258
      1024    2       3       3   0.8   1e-06      410      349    0.00013485       9.30727    0.120345
      2048    2       3       3   0.8   1e-06      521      447   0.000205629       17.1596    0.350549
      4096    2       3       3   0.8   1e-06      646      555   0.000282043       34.0605    0.966279
      8192    2       3       3   0.8   1e-06      772      657   0.000358989       65.0378     2.62526
     16384    2       3       3   0.8   1e-06      881      739   0.000423463       126.371      6.0848
     32768    2       3       3   0.8   1e-06     1006      827   0.000485773       251.947     14.9876
     65536    2       3       3   0.8   1e-06     1119      897   0.000518287       504.257     36.7861
    131072    2       3       3   0.8   1e-06     1246      967   0.000450924       1002.43     86.2915
